Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
480,STI_FEEDER_CONTROL,Feeder control mode,1,15,FEEDER CONTROL,DOSIERREGELUNG,CONT DOSIFICAD,REGULATION,CONTR ALIM,DOSERING,FEEDER KONTROL,KONTR. MATN.,进给控制,REGUL.DOZOW.,フィーダー制御,피더 콘트롤,CONTR DOSADOR,OVLÁD PLNIČ,УПР. ДОЗИРОВ.,ADAGOLÓ VEZÉRL,,CONTROL ALIM.,KONTR. DÁVKOV.,BESLEYİCİ KONT,ANNOSOHJAUS,ΕΛΕΓΧΟΣ ΔΟΣΗΣ,,DOZIRANJE,REGUL DOZIR,??????,REGUL.DOZOW.
481,STI_SIMULATION,Simulation,1,13,SIMULATION,SIMULATION,SIMULACION,SIMULATION,SIMULAZIONE,SIMULATIE,SIMULERING,SIMULERING,模拟,SYMULACJA,SIM,시뮬레이션,SIMULA��O,SIMULÁCIA,ИМИТАЦИЯ,SZIMULÁLÁS,,SIMULARE,SIMULACE,SİMÜLASYON,SIMULOINTI,ΠΡΟΣΟΜΟΙΩΣΗ,,SIMULACIJA,SIMULACIJA,??????,SYMULACJA
482,STI_SET_SIM_VALUE,Set simulation value,1,15,SET SIM VALUE,SIM-WERT,MONTAR VAL SIM,VALEUR SIMUL.,SET VALORE SIM,TESTWAARDE,S�T SIM V�RDI,V�LJ SIM.V�RDE,设置模拟值,WARTOSC SYMUL.,SIM値の設定,시뮬값 설정,CONF VALOR SIM,NAST SIM HODN,УСТ. ИМ. ЗНАЧ.,SZIM.ÉRT.BEÁLL,,SET VAL SIMUL,SIMUL HODNOTA,SİM. DEĞER GİR,ASETA SIM ARVO,ΤΙΜΗ ΠΡΟΣΟΜ.,,VRED ZA SIMUL,NAST SIMUL,??????,WARTOSC SYMUL.
483,STI_EVENT_CONTROL,Event control,1,15,EVENT CONTROL,2P-REGLER m Z�,CONTROL EVENTO,CONTR. EVENEM.,VERIFICA EVENT,BELUCHTING,H�NDELSESLOG,H�NDELSE STYRN,事件控制,KONTROL.ZDARZ.,イベント制御,이벤트 콘트롤,CONTR EVENTO,UDALOSŤ KONTR,УПР. ПО СОБЫТ.,ESEMÉNY BEÁLL.,,CONTROL EVENIM,ŘÍZENÍ UDÁLOSTI,OLAY KONTROL,AJASTIN,ΕΛΕΓΧΟΣ ΓΕΓΟΝ.,,KONTROLA,KONTR DOGOD,??????,KONTROL.ZDARZ.
484,STI_USER_HOLD,Hold initiated by the user,1,15,USER HOLD,MANUELL HALTEN,ESPERA USUARIO,UTILISAT. MEMO,UTILIZZATORE,HOLD GEBR.,MANUEL HOLD,MAN. L�SNING,用户保持,BLOKADA,ユーザー保持,사용자 중지,SA�DAS RETIDAS,DRŽ UŽÍVATELOM,ПОЛЬЗ. ФИКС.,FELHASZN.TART.,,PASTR.UTILIZAT,ŘÍZENÍ UŽIV.,KULLANICI DURD,JÄÄDYTYS,HOLD ΑΠΟ ΧΕΙΡ.,,ZADRŽI,ROČ USTAVI,??????,BLOKADA
485,STI_MISFUNCTION,Malfunction,1,14,MALFUNCTION,ST�RUNG,PROBLEMA,MAUV. FONCT.,MALFUNZIONE,ERROR,FEJLFUNKTION,FELFUNKTION,故障,ZAKLOCENIE,機能不全,기능이상,MALFUN��O,ZLYHANIE,НЕИСПРАВ.,HIBÁS MÜKÖDÉS,,MALFUNCTII,SELHÁNÍ,ARIZA,VIKA,ΔΥΣΛΕΙΤΟΥΡΓ.,,NEFUNKCIONIŠE,MOTNJA,??????,ZAKLOCENIE
486,STI_CALIBRATING,Busy calibrating,1,14,CALIBRATING,KALIBRIERE,CALIBRANDO,ETALONNAGE,CALIBRAZIONE,CALIBRATIE,KALIBRERER,KALIBRERAR,校准,KALIBROWANIE,校正中,교정중,CALIBRANDO,KALIBRÁCIA,КАЛИБРОВКА,KALIBRÁLÁS,,CALIBRARE,KALIBRACE,KAL. EDİYOR,KALIBROI,ΒΑΘΜΟΝΟΜΗΣΗ,,KALIBRACIJA,KALIBRACIJA,??????,KALIBROWANIE
487,STI_NO_RESPONSE,Device has not responded,1,14,NO RESPONSE,KEINE R�CKMELD,SIN RESPUESTA,PAS DE REPONSE,NO RISPOSTA,GEEN REACTIE,INGEN RESPONS,INGEN RESPONS,无响应,BRAK ODP.,応答なし,반응없음,SEM RESPOSTA,BEZ ODOZVY,НЕТ ОТКЛИКА,NINCS VÁLASZ,,FARA RASPUNS,BEZ ODEZVY,CEVAP YOK,EI VASTAA,ΧΩΡΙΣ ΑΠΟΚΡ.,,BEZ ODZIVA,NI ODGOVORA,??????,BRAK ODP.
488,STI_WASHING,Busy washing,1,14,CLEANING,REINIGUNSVORG,LIMPIANDO,NETTOYAGE,LAVAGGIO,REINIGING,RENSER,RENG�RING,清洗,CZYSCZENIE,洗浄中,세정중,LAVANDO,ČISTENIE,ОЧИСТКА,TISZTÍTÁS,,CURATARE,ČIŠTĔNĺ,TEMİZLİYOR,PUHDISTUS,ΚΑΘΑΡΙΣΜΟΣ,,ČIŠĆENJE,ČIŠČENJE,??????,CZYSCZENIE
489,STI_PROBE_DIAG,Probe diagnostic,1,15,SENSOR DIAG,SENSOR-STATUS,SE�AL SENSOR,DIAGN. CAPTEUR,DIAGN. SONDA,SONDE DIAGNOSE,SENSOR DIAG,GIVARDIAGNOS,传感器诊断,KONTROLA CZUJN,センサの診断,센서 진단,DIAG SENSOR,SENZOR DIAG,ТЕСТ ДАТЧИКА,SZENZ. DIAG.,,DIAG SENZOR,SENZOR DIAGN,SENSÖR DIAG,ANTURIDIAG,ΚΑΤΑΣ. ΑΙΣΘΗΤ.,,DIAG.SENZORA,SENZ STATUS,??????,KONTROLA CZUJN
490,STI_WARNING_LIST,Warning list,1,17,WARNING LIST,WARNUNGEN,ADVERTENCIAS,LISTE AVERTIS.,LISTA AVVISI,WAARSCHUWINGEN,ALARM LISTE,LARM LISTA,报警列表,OSTRZEZENIA,警告リスト,경고목록,LISTA AVISOS,VAROVANIA ZOZN,СПИСОК ПРЕДУП.,FIGYELM.LISTA,,LISTĂ ATENTION,VÝPIS VAROVÁNÍ,UYARI LİSTESİ,HÄLYTYSLISTA,ΛΙΣΤΑ ΠΡΟΕΙΔ.,,UPOZORENJA,OPOZORILA,??????,OSTRZEZENIA
491,STI_ERROR_LIST,Error list,1,14,ERROR LIST,FEHLER,LISTA ERRORES,LISTE ERREURS,LISTA ERRORI,FOUTMELDINGEN,FEJL LISTE,FEL LISTA,错误列表,BLEDY,エラーリスト,에러목록,LISTA ERROS,ZOZN CHÝB,СПИС. ОШИБ.,HIBALISTA,,LISTĂ ERORI,VÝPIS CHYB,HATA LİSTESİ,VIKALISTA,ΛΙΣΤΑ ΣΦΑΛΜΑΤ.,,GREŠKE,NAPAKE,??????,BLEDY
492,STI_NORMAL,Something is normal,1,10,NORMAL,NORMAL,NORMAL,NORMAL,NORMALE,NORMAAL,NORMAL,NORMAL,正常,NORMALNY,正常,정상,NORMAL,NORMÁLNE,НОРМА,NORMÁLIS,,NORMAL,OBVYKLÉ,NORMAL,NORMAALI,ΚΑΝΟΝΙΚ.,,NORMALNO,NORMALNO,??????,NORMALNY
493,STI_LAUNCH,Launch or start something,1,10,LAUNCH,START,INICIAR,LANCEMENT,LANCIA,START,START,LANSERING,发射,START,起動,시작,INICIAR,SPUSTI,ЗАПУСК,INDÍT,,LANSARE,SPUSTIT,BAŞLAT,ALOITA,ΕΝΑΡΞΗ,,START,START,??????,START
494,STI_WASHING_SUSPEND,Suspend washing,1,15,CLEAN SUSPEND,STOPP REINIG.,PARA LAVADO,SUSPENDRE NETT,LAVAG. SOSPESO,REINIGING STOP,STOP RENG�R.,F�RDR. RENG�R.,清洗暂停,KONIEC CZYSZCZ,洗浄中断,세정중 정지,SUSP LAVAGEM,PRERUŠ ČISTEN,УДАЛ. ОСАДКА,TISZT.FELFÜGG.,,SUSPEND CURATA,ODLOŽIT ČIŠTĚNÍ,ASKIDA YIKAMA,CLEAN SUSPEND,ΔΙΑΚΟΠΗ ΚΑΘΑΡ.,,ZAUST.ČIŠĆENJE,USTAVI ČIŠČ,??????,KONIEC CZYSZCZ
495,STI_SET_OUTMODE,Set output mode,1,15,SET OUTMODE,AUSGANGSMODUS,MONTAR SALIDA,AJ MODE SORTIE,SET USCITE,SET UITGANGEN,S�T OUTMODE,V�LJ UTSIGNAL,设置输出模式,SPOS�B WYJSCIA,出力モード設定,출력모드 설정,MODO SA�DA,NAST VYST MÓD,УСТ.ВЫХ.РЕЖИМ,KIM.MÓD BEÁLL,,SET MOD IESIRI,NAST VÝSTUPMOD,ÇIKIŞ MODU KUR,ASETA ULOSTULO,ΟΡΙΣ.ΕΞΟΔΩΝ,,POST.AUTOMAT.,NAST IZHODA,??????,SPOSÓB WYJSCIA
496,STI_SET_CHANNEL,Set a channel,1,14,SET CHANNELS,WIRKSAM F�R...,MONTAR CANAL,AJ. VOIES,SET CANALI,SET KANALEN,S�T KANALER,V�LJ KANALER,选择通道,USTAW KANALY,チャンネル設定,채널 설정,CFG CANAIS,NAST KANÁLY,УСТ. КАНАЛОВ,CSATORNA BEÁLL,,SET CANALE,NASTAV KANÁLY,KANAL AYARLA,ASETA KANAVAT,ΟΡΙΣ.ΚΑΝΑΛΩΝ,,POST. KANALE,NAST KANAL,??????,USTAW KANALY
497,STI_ERROR_OUTMODE,Output mode upon error,1,16,ERROR HOLD MODE,ST�RUNG,SALIDA EN ERROR,ERR. MODE MEMO,ERRORE IN HOLD,ERROR STOPMODUS,FEJL HOLD MODE,UTSIGN.VID FEL,错误保持模式,ZAKLOCENIE,誤り保持モード,에러중지 모드,MODO SAIDA ERR,VYST MÓD CHYB,ВЫХ. ПРИ ОШИБ.,TARTÓ MÓD HIBA,,MOD PAST ERORI,ERROR HOLD MOD,DURUŞ MODU HATA,HÄIRIÖASETUS,HOLD ΑΠΟ ΣΦΑΛ.,,IZL.KOD GREŠKE,NAST NAPAKE,??????,ZAKLOCENIE
498,STI_START,Start something,1,10,START,START,ARRANCAR,DEMARRAGE,AVVIO,START,START,START,开始,URUCHOM,スタート,시작,INICIAR,ŠTART,СТАРТ,INDÍT,,START,SPUSTIT,BAŞLAT,ALOITA,ΕΝΑΡΞΗ,,POKRENI,START,??????,URUCHOM
499,STI_STOP,Stop something,1,8,STOP,STOPP,PARAR,ARRETER,STOP,STOP,STOP,STOPP,停止,ZATRZYM,ストップ,정지,PARAR,STOP,СТОП,LEÁLLÍT,,STOP,ZASTAVIT,DURDUR,LOPETA,ΔΙΑΚΟΠΗ,,ZAUSTAVI,USTAVI,??????,ZATRZYM
500,STI_DELETE_PROBES,Delete sensors,1,15,DELETE SENSORS,SENSOR L�SCHEN,BORRAR SENSOR,SUPPR. CAPTEUR,CANCELLA SONDE,DELETE SONDE,FJERN SENSORER,TA BORT GIVARE,删除传感器,USUN CZUJNIKI,センサの削除,센서 제거,DELETA SENSOR,ODSTRÁŇ SENZ,УДАЛИТЬ ДАТЧ.,SZENZ.TÖRLÉSE,,STERGE SENZOR,ODSTRAŇ SENZOR,SENSÖRLERİ SİL,POISTA ANTURIT,ΔΙΑΓΡΑΦΗ,,BRIŠI SENZ.,IZBRIŠI SENZOR,??????,USUN CZUJNIKI
501,STI_REQUIRED,Something is required,1,12,REQUIRED,ERFORDERLICH,REQUERIDO,DEMANDE,RICHIESTA,NODIG,KRAV,BEHOV,必需的,WYMAGANY,必要です,필수,NECESS�RIO,POŽADOVANE,НЕОБХ.,SZÜKSÉGES,,SOLICITAT,VYŽADOVÁNO,GEREKLİ,TARVITAAN,ΑΠΑΙΤΕΙΤΑΙ,,POTREBNO,ZAHTEVA,??????,WYMAGANY
502,STI_ERROR,An error has bee detected.,1,9,ERROR,FEHLER,ERROR,ERREUR,ERRORE,FOUT,FEJL,FEL,错误,BLAD,エラー,에러,ERRO,CHYBA!,ОШИБКА,HIBA,,EROARE,CHYBA!,HATA,VIKA,ΣΦΑΛΜΑ,,GREŠKA,NAPAKA,??????,BLAD
503,STI_DATALOG_SETUP,Set up data logging,1,15,DATALOG SETUP,LOGGER,MONTAR DIARIO,PROGR. DATALOG,SETUP MEMORIA,SETUP DATALOG,DATALOGOPS.,SETUP LOGGER,数据记录设置,REJESTR.,データログ設定,데이타로거설정,CFG LOGGER,NAST DATALOG,НАСТР. ЗАПИСИ,ADATNAPL.BEÁLL,,SET LOG DATE,NASTAV DATALOG,VERİKAYIT AYAR,ASETA DATALOG,ΟΡΙΣΜ.ΚΑΤΑΓΡ.,,LOGER,POMNILNIK,??????,REJESTR.
504,STI_SET_INTERVAL,Set an interval,1,14,SET INTERVAL,INTERVALL,PONER INTERVAL,AJ. INTERVALLE,SET INTERVALLO,INTERVAL INST.,V�LG INTERVAL,V�LJ INTERVALL,设置间歇,INTERWAL,間隔設定,간격 설정,CFG INTERVALO,NAST INTERV,УСТ. ИНТЕРВ.,IDÖKÖZ BEÁLLÍT,,SET INTERVAL,URČI INTERVAL,ARALIK AYARLA,ASETA JAKSO,ΟΡΙΣ.ΔΙΑΣΤΗΜ.,,INTERVAL,NAST INTERVAL,??????,INTERWAL
505,STI_SET_MODE,Set the mode,1,15,SET MODE,BETRIEBSART,MONTAR MODO,PROGR. MODE,IMPOSTA MOD.,MODUS INST.,V�LG MODE,V�LJ MODE,设置模式,SPOSOB POMIARU,モード設定,모드 설정,CFG MODO,NAST MÓD,УСТ. РЕЖИМА,BEÁLLÍTÁS MÓD,,SETARE MOD,NASTAV MOD,MOD AYARLA,ASETA TAPA,ΤΡΟΠ. ΛΕΙΤΟΥΡ.,,POST. MOD,NAST NAČIN,??????,SPOSOB POMIARU
506,STI_AUTO,Automatic,1,11,AUTO,AUTO,AUTOM�T.,AUTO,AUTOMATICO,AUTOM.,AUTO,AUTO,自动,AUTOM,自動,자동,AUTOM�TICO,AUTOM,АВТОМАТ,AUTOMAT.,,AUTOMAT,AUTOMAT.,OTOMATİK,AUTOMAATTI,ΑΥΤΟΜΑΤΑ,,AUTOMATSKI,AVTO,??????,AUTOM
507,STI_MANUAL,Non-automatic,1,10,MANUAL,MANUELL,MANUAL,MANUEL,MANAULE,HANDMATIG,MANUEL,MANUELL,手动,RECZNY,手動,수동,MANUAL,MANUÁL,РУЧНОЙ,KÉZI,,MANUAL,RUČNĚ,MANUEL,KÄSI,ΧΕΙΡΟΚΙΝ.,,MANUELNO,ROČNO,??????,RECZNY
508,STI_PROP_BAND,Proportional band,1,15,PROP BAND,PROPORTIONAL,BANDA PROPORC.,BANDE PROPORT.,BANDA PROP,PROP. BAND,P-BAND,P-BAND,比例带,PROPORCJONALNY,PROPバンド,비례 구간,BANDA PROPORC,PROPORC PÁS,ОБЛ. ПРОПОРЦ.,ARÁNYOS,,BANDA PROPORT.,PROP PÁS,ORANTILI BANT,VAHVISTUS,ΑΝΑΛΟΓΙΚΑ,,PROPORCIONAL,PROPORC,??????,PROPORCJONALNY
509,STI_INTEGRAL,Mathmatical integral,1,11,INTEGRAL,INTEGRAL,INTEGRAL,INTEGRATION,INTEGRALE,INTEGRAAL,INTEGRAL,INTEGRERING,积分,CALKUJACY,積分,적분,INTEGRAL,INTEGRÁL,ИНТЕГРАЛ,INTEGRÁL,,INTEGRALA,INTEGRACE,İNTEGRAL,INTERGOINTI,ΑΚΕΡΑΙΟ,,INTEGRAL,INTEGRAL,??????,CALKUJACY
510,STI_DERIVATIVE,Mathematical derivative,1,14,DERIVATIVE,DIFFERENTIAL,DERIVADA,DERIVE,DERIVATA,AFGELEIDE,DIFFERENTIAL,DERIVERING,微分,ROZNICZKUJACY,微分,변수,DERIVATIVO,DERIVÁCIA,ПРОИЗВОДНАЯ,DIFFERENCIÁL,,DERIVATIVA,DERIVACE,TÜREV,DERIVOINTI,ΔΙΑΦΟΡΙΚΟ,,DIFERENCIAL,DIFERENCIAL,??????,ROZNICZKUJACY
511,STI_DIRECT,Direct acting control,1,12,DIRECT,POSITIV,DIRECTO,DIRECT,DIRETTO,DIRECT,POSITIV,DIREKT,直接,POZYTYWNY,ダイレクト,직접,DIRETO,PRIAMO,ПРЯМОЕ,KÖZVETLEN,,DIRECT,PŘĺMO-direct,DİREKT,SUORA,ΘΕΤΙΚΟ,,POZITIV,POZITIVNO,??????,POZYTYWNY
512,STI_REVERSE,Reverse acting control,1,14,REVERSE,NEGATIV,REVERSO,INVERSE,REVERSIBILE,OMGEKEERD,NEGATIV,OMV�ND,反向,NEGATYWNY,逆,역방향,REVERSO,REVERZNE,ОБРАТНОЕ,FORDÍTOTT VEZ.,,REVERS,REVERZNĔ-rvrse,TERS,KÄÄNTEINEN,ΑΡΝΗΤΙΚΟ,,NEGATIV,NEGATIVNO,??????,NEGATYWNY
513,STI_MANUAL_OUTPUT,Manually controlling output,1,16,MANUAL OUTPUT,AUSGANG MANUEL,SALIDA MANUAL,SORT; MANUELLE,USCITA MANUALE,HANDMT UITGANG,MANUEL OUTPUT,MAN STYRNING,手动输出,WYJSCIE RECZNE,マニュアル出力,수동 출력,SA�DA MANUAL,MANUÁL VÝSTUP,РУЧ. УПР. ВЫХ.,KIM.KÉZI VEZ.,,IESIRE MANUALA,VÝSTUP MANUAL,MANUEL ÇIKIŞ,MANUAALINEN,ΕΞΟΔΟΣ ΧΕΙΡΟΚ.,,IZLAZ MANUEL.,IZHOD ROČNO,??????,WYJSCIE RECZNE
514,STI_1_MIN,1 minute,1,8,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1分钟,1 min,1分,1 분,1 min,1 MINÚTA,1 МИН,1 P,,1 min,1 min,1 DAK,1 min,1 ΛΕΠ,,1 min,1 min,??????,1 min
515,STI_5_MIN,5 minutes,1,7,5 min,5 min,5 min,5 min,5 min,5 min,5 min,5 min,5分钟,5 min,5分,5 분,5 min,5 MINÚT,5 МИН,5 P,,5 min,5 min,5 DAK,5 min,5 ΛΕΠ,,5 min,5 min,??????,5 min
516,STI_10_MIN,10 minutes,1,8,10 min,10 min,10 min,10 min,10 min,10 min,10 min,10 min,10分钟,10 min,10分,10 분,10 min,10 MINÚT,10 МИН,10 P,,10 min,10 min,10 DAK,10 min,10 ΛΕΠ,,10 min,10 min,??????,10 min
517,STI_15_MIN,15 minutes,1,8,15 min,15 min,15 min,15 min,15 min,15 min,15 min,15 min,15分钟,15 min,15分,15 분,15 min,15 MINÚT,15 МИН,15 P,,15 min,15 min,15 DAK,15 min,15 ΛΕΠ,,15 min,15 min,??????,15 min
518,STI_LOG_CHANNEL,This is the channel to be logged,1,14,LOG CHANNEL,LOGGER-KANAL,ANOTAR CANAL,LOG VOIE,LOG CANALE,LOG KANAAL,LOG KANAL,LOGG KANAL,日志通道,KANAL-REJESTR,ログチャンネル,로그 채널,REGIST CANAL,LOG KANÁLA,ЗАП. КАНАЛА,NAPL. CSATORNA,,LOGARE CANAL,LOG KANÁLU,KAYIT KANALI,LOG KANAVA,ΚΑΝΑΛ. ΚΑΤΑΓΡ.,,LOGER-KANAL,POMN KANAL,??????,KANAL-REJESTR
519,STI_LOG_PARAMETER,This is the parameter to be looged,1,15,LOG PARAMETER,LOGGER-PARAMET,ANOTAR PARAM.,LOG PARAMETRE,LOG PARAMETRO,LOG PARAMETER,LOG PARAMETER,LOGG PARAMETER,日志参数,PARAM.-REJESTR,ログパラメータ,로그 파라메타,REGIST PARAM,LOG PARAMETRA,ЗАПИСЬ ПАРАМ.,NAPL.PARAMÉTER,,LOG.PRAMETRU,LOG PARAMETRU,KAY. PARAMETRE,LOG PARAMETRI,ΠΑΡΑΜ. ΚΑΤΑΓΡ.,,LOGER-PARAMET,POMN PARAM,??????,PARAM.-REJESTR
520,STI_LINEAR_CONTROL,Operate as a linear controller,1,15,LINEAR CONTROL,LINEAR,CONTROL LINEAL,REG. LINEAIRE,CONTROL/LINEAR,LINEAIR,LINE�R KONTROL,LINJ.STYRNING,线性控制,REGUL.LINEARNY,線形制御,정비례 콘트롤,CONTR LINEAR,LINEAR RIAD,ЛИН. КОНТРОЛЬ,LINEÁRIS SZAB.,,CONTROL LINEAR,LIN ŘĺZENĺ,LİNEER KONTROL,LINEAARINEN,ΓΡΑΜΜΙΚΟ,,LINEAR,LINEARNO,??????,REGUL.LINEARNY
521,STI_PID_CONTROL,Proportional - Integral - Derivative Control,1,13,PID CONTROL,PID-REGLER,CONTROL PID,REG. PID,CONTROLLO PID,PID-CONTROLE,PID KONTROL,PID STYRNING,PID控制,REGUL.PID,PID制御,PID 콘트롤,CONTR PID,PID RIADENIE,ПИД КОНТР.,PID VEZÉRLÉS,,CONTROL PID,PID ŘĺZENĺ,PID KONTROL,PID SÄÄTÖ,ΕΛΕΓΧΟΣ PID,,PID KONTROLA,PID KONTROL,??????,REGUL.PID
522,STI_ADJUST_READING,Instruct user to adjust reading,1,15,ADJUST READING,EINSTELLEN,AJUSTA LECTURA,AJ. INDICATION,ALLINEA LETTUR,METING AANPAS.,JUSTER L�SNING,JUST. V�RDET,调整读数,USTAW,指示値の調整,측정값 조정,AJUSTAR LEIT,NASTAV ODCITAN,НАСТР. РЕЗУЛЬ.,OLVASÁSMÓD ÁLL,,AJUST.CITIRE,ADJUST MĔŘENĺ,SONUÇ AYARLA,MUUTA LUKEMAA,ΡΥΘΜ. ΜΕΤΡΗΣΗΣ,,PODESI ČITANJE,POPRAVI VRED,??????,USTAW
523,STI_AIR_PRESS,Air pressure,1,14,AIR PRESS,LUFTDRUCK,PRESION ATMOSF,PRESSION AIR,PRESS ARIA,LUCHTDRUK,LUFT TRYK,LUFTTRYCK,大气压力,CISNIENIE POW.,気圧,대기압,PRESS�O AR,TLAK VZDUCHU,АТМ. ДАВЛ.,LEVEGÖ NYOMÁS,,PRESIUNE AER,VZDUCH TLAK,HAVA BASINCI,ILMANPAINE,ΠΙΕΣΗ ΑΕΡΑ,,PRITISAK,ZRAČ TLAK,??????,CISNIENIE POW.
524,STI_AIR_PRESS_ALT,Air pressure / altitude,1,15,AIR PRESS/ALT,LUFTDRUCK/H�HE,PRESION ATM/AL,PRESS. AIR/ALT,PRESS/ALT ARIA,HOOGTE/DRUK,LUFT TR./ALT,LUFTTR./H�JD,大气压力/海拔,CISNIENIE/WYS.,気圧/高度,대기압/고도,PRESS�O AR/ALT,TLAK/VÝŠK VZD,АТМ.ДАВ/ВЫС,LEV. NYOM/MAG.,,PRES/ALTIT AER,TLAK/VÝŠKA VZD,HAVA BAS/YÜKS,ILMANPAINE/K,ΠΙΕΣΗ ΑΕΡ/ΥΨΟΣ,,PRITISAK/ALT.,TLAK/NAD VIŠ,??????,CISNIENIE/WYS.
525,STI_ALT_PRESS_UNITS,Altitude / pressure units,1,15,ALT/PRESS UNITS,DRUCKEINHEITEN,UNIDAD ALT/PRE,UNITE PRESSION,UNITA ALT/ARIA,HGTE/DRUK EENH,HJD.TRYK.ENHED,H�JD/TR-ENHET,海拔/压力单位,JEDN.CISNIENIA,高度/気圧単位,고도/압력 단위,UNID PRESS/ALT,VÝŠK/TLAK JEDN,ВЫС/ЕД.ДАВ.,MAG/NYOM. EGYS,,UNIT PRES/ALT,VÝŠKA/TLAK JDN,YÜKS/BAS BİRİM,KORK/PAINE YKS,ΜΟΝΑΔΕΣ ΠΙΕΣΗΣ,,ALT./PRIT.JED.,NVIŠ/TLAK ENOTE,??????,JEDN.CISNIENIA
526,STI_ALT_PRESS,Altitude / pressure,1,15,ALT/PRESS,H�HE/DRUCK,ALTURA/PRESION,ALT./PRESSION,ALT/PRESS,HGTE/DRUK,H�JDE TRYK,H�JD/TRYCK,海拔/压力,WYS./CISNIENIE,高度/気圧,고도/압력,PRESS�O/ALT,VÝŠK/TLAK,ВЫС/ДАВЛЕН.,MAGASS/NYOMÁS,,ALTITUD/PRES,VÝŠKA/TLAK,YÜKS/BASINÇ,KORK/PAINE,ΥΨΟΜ./ΠΙΕΣΗΣ,,ALT./PRITISAK,NAD VIŠ/TLAK,??????,WYS./CISNIENIE
527,STI_ALTITUDE,Altitude,1,13,ALTITUDE,H�HE � N.N.,ALTURA,ALTITUDE,ALTITUDINE,HOOGTE,H�JDE,H�JD,海拔高度,WYSOKOSC,高度,고도,ALTITUDE,NADM VÝŠK,ВЫС Н.У.М.,MAGASSÁG,,ALTITUDINE,NADM VÝŠKA,YÜKSEKLİK,KORKEUS,ΥΨΟΜΕΤΡΟ,,ALTITUDA,NAD VIŠINA,??????,WYSOKOSC
528,STI_AMPL_DIAG,Amplitude diagnostic,1,15,AMPL DIAG,AMPLITUDE,DIAG AMPLITUD,DIAGN. AMPLIT.,DIAGN ESTESA,DIAGNOSE AMPL,H�JDEDIAG.,AMPLIT. DIAGN.,幅值诊断,AMPLITUDA,増幅率の診断,앰플 진단,DIAG AMP,ROZKMIT DIAG,ТЕСТ АМПЛИТ.,AMPL. DIAG.,,DIAG AMPLITUD,AMPL DIAG,GENLİK DIAG,AMPL DIAG,ΔΙΑΓΝ. AMPL,,AMPLITUDA,AMPITUDA,??????,AMPLITUDA
529,STI_BACK_TO_CAL,Return to calibration,1,15,BACK TO CAL,ZUR�CK ZU KAL,REGRESA A CAL,RETOUR ETALON.,RITORNO CAL,TERUG NAAR CAL,RETUR KAL,�TER T KALIB.,后退到校准,POWROT DO KAL.,校正に戻る,교정으로가기,VOLTAR A CALIB,SPET DO KALIBR,ВОЗВ. К КАЛИБ.,VISSZA A KAL.,,INAPOI LA CAL,ZPĔT DO KALIBR,KALİB. DÖN,PALUU KALIBR,ΕΠΙΣ.ΣΤΗ ΒΑΘΜ.,,NAZAD U KALIB.,NAZAJ H KALIB,??????,POWROT DO KAL.
530,STI_BLUE,Blue,1,9,BLUE,BLAU,AZUL,BLEU,BLU,BLAUW,BL�,BL�,蓝色,NIEBIESKA,青色,청색,AZUL,MODRÁ,СИНИЙ,KÉK,,ALBAST,MODRÁ,MAVİ,BLUE,ΜΠΛΕ,,PLAVO,MODRA,??????,NIEBIESKA
531,STI_BLUE_AMPL,Blue amplitude,1,14,BLUE AMPL,AMPL BLAU,AMPLITUD AZUL,AMPL. BLEU,BLUE ESTESO,BLAUW AMPL,BL� AMPL,BL� AMPLITUD,蓝光幅值,AMPL.NIEBIESKA,青色増幅率,청색 앰플,AMP AZUL,MODRÁ AMPL,СИНИЙ АМП.,KÉK AMPLITÚDÓ,,AMPL ALBASTRA,MODRÁ AMPL,MAVİ AMPL,BLUE AMPL,ΜΠΛΕ AMPL,,PLAVO AMPL.,AMPL MODRA,??????,AMPL.NIEBIESKA
532,STI_BLUE_AMPL_HIGH,Blue amplitude is too high,1,16,BLUE AMPL HIGH,AMPL BLAU HOCH,AMPL AZUL ALTA,AMPL BLEU HAUT,BLUE EST ALTO,BLAUW AMPL HGH,BL� AMPL H�J,BL� AMPL. H�G,蓝光幅值高,WYS.AMPL.NIEB.,高青色増幅率,청색앰플 최고,AMP AZUL ALTO,VYS. MODR AMPL,СИНИЙ АМП.ВЕРХ,K.AMP.MAGAS,,AMPL ALB.INALT,MODRÁ AMPL MAX,MAVİ AMPL YÜKS,BLUE AMPL HIGH,ΜΠΛΕ AMPL HIGH,,PLAVO AMPL.VIS,AMPL M VISOKA,??????,WYS.AMPL.NIEB.
